id,x,y,width,height,filename
503,1315,591,732,571,region_000503.jpg
504,457,516,112,81,region_000504.jpg
505,450,816,58,161,region_000505.jpg
506,1837,1025,148,184,region_000506.jpg
507,1567,379,171,216,region_000507.jpg
508,1379,547,54,52,region_000508.jpg
509,601,480,396,399,region_000509.jpg
510,713,1159,45,48,region_000510.jpg
511,544,299,88,78,region_000511.jpg
512,454,585,1074,708,region_000512.jpg
513,1675,958,96,135,region_000513.jpg
514,1970,1212,47,67,region_000514.jpg
515,1967,1212,50,67,region_000515.jpg
516,457,515,112,82,region_000516.jpg
517,728,57,1235,730,region_000517.jpg
518,384,1208,47,46,region_000518.jpg
519,394,509,64,31,region_000519.jpg
520,1420,871,627,343,region_000520.jpg
521,1420,871,627,395,region_000521.jpg
522,1022,1067,19,39,region_000522.jpg
523,1540,130,507,333,region_000523.jpg
524,385,485,184,131,region_000524.jpg
525,390,880,55,113,region_000525.jpg
526,390,842,55,151,region_000526.jpg
527,390,782,55,211,region_000527.jpg
528,390,782,55,218,region_000528.jpg
529,154,1266,69,28,region_000529.jpg
530,1705,1266,53,77,region_000530.jpg
531,454,547,1074,746,region_000531.jpg
532,1089,896,40,53,region_000532.jpg
533,1758,1317,201,17,region_000533.jpg
534,350,1004,27,27,region_000534.jpg
535,349,1004,28,27,region_000535.jpg
536,159,1179,36,20,region_000536.jpg
537,1671,958,100,135,region_000537.jpg
538,831,1317,30,18,region_000538.jpg
539,631,901,32,36,region_000539.jpg
540,631,901,34,36,region_000540.jpg
541,567,480,430,399,region_000541.jpg
542,338,1004,46,64,region_000542.jpg
543,0,264,807,950,region_000543.jpg
544,1315,538,732,624,region_000544.jpg
545,101,805,57,22,region_000545.jpg
546,382,1208,49,46,region_000546.jpg
547,454,547,1078,746,region_000547.jpg
548,544,297,113,80,region_000548.jpg
549,477,946,18,78,region_000549.jpg
550,0,547,2047,807,region_000550.jpg
551,1646,746,16,113,region_000551.jpg
552,1315,144,732,1018,region_000552.jpg
553,287,1244,96,52,region_000553.jpg
554,258,1244,125,61,region_000554.jpg
555,1729,1094,28,47,region_000555.jpg
556,0,264,841,950,region_000556.jpg
557,567,480,430,410,region_000557.jpg
558,829,1142,62,49,region_000558.jpg
559,0,264,997,950,region_000559.jpg
560,1705,1266,53,88,region_000560.jpg
561,728,57,1235,802,region_000561.jpg
562,742,0,1305,1162,region_000562.jpg
563,826,951,63,42,region_000563.jpg
564,1761,1125,37,50,region_000564.jpg
565,1313,475,48,66,region_000565.jpg
566,1313,405,66,136,region_000566.jpg
567,0,264,1149,950,region_000567.jpg
568,503,568,34,31,region_000568.jpg
569,600,470,57,54,region_000569.jpg
570,0,264,1149,960,region_000570.jpg
571,1611,1108,43,17,region_000571.jpg
572,0,264,2047,1090,region_000572.jpg
573,1667,728,32,26,region_000573.jpg
574,1693,1266,65,88,region_000574.jpg
575,1376,1012,43,46,region_000575.jpg
576,1671,958,102,135,region_000576.jpg
577,1409,903,52,95,region_000577.jpg
578,1409,880,53,118,region_000578.jpg
579,716,976,67,54,region_000579.jpg
580,326,500,57,193,region_000580.jpg
581,258,1244,127,61,region_000581.jpg
582,1880,1234,70,24,region_000582.jpg
583,728,0,1319,1162,region_000583.jpg
584,1471,435,22,61,region_000584.jpg
585,911,488,76,40,region_000585.jpg
586,0,0,1163,531,region_000586.jpg
587,0,0,1163,693,region_000587.jpg
588,259,1118,46,43,region_000588.jpg
589,0,0,2047,1162,region_000589.jpg
590,0,0,2047,1354,region_000590.jpg
